  00000000:  59 3d 00 00 00 00 00 00                         MTC 0x3d
  00000008:  02 82 02 82 02 82 02 82 02 82 02 82 02 82 02 82 PSB
  0000001e:  19 e2 cd a0 a8 56 06 00                         TSC 0x656a8a0cde2
  0000002e:  02 73 3d 57 00 26 00 00                         TMA CTC 0x573d FC 0x26
  00000038:  02 03 2e 00                                     CBR 0x2e
  0000003c:  02 23                                           PSBEND
  0000003e:  59 3e                                           MTC 0x3e
  00000040:  59 3f                                           MTC 0x3f
  00000042:  59 40                                           MTC 0x40
  00000044:  59 41                                           MTC 0x41
  00000046:  59 42                                           MTC 0x42
  00000048:  59 43                                           MTC 0x43
  0000004a:  59 44                                           MTC 0x44
  0000004c:  59 45                                           MTC 0x45
  0000004e:  59 46                                           MTC 0x46
  00000050:  59 47                                           MTC 0x47
  00000052:  59 48 00                                        MTC 0x48
  00000055:  99 01                                           MODE.Exec 64
  00000057:  71 e4 31 35 f8 53 7f 00                         TIP.PGE 0x7f53f83531e4 (3)
  00000060:  0c                                              TNT TN (2)
  00000061:  2d f7 8e                                        TIP 0x8ef7 (1)
  00000064:  59 49                                           MTC 0x49
  00000066:  04 00                                           TNT N (1)
  00000068:  4d 8f b8 38 f8                                  TIP 0xf838b88f (2)
  0000006d:  04 00                                           TNT N (1)
  0000006f:  6d a0 e1 ce 75 b3 55 00                         TIP 0x55b375cee1a0 (3)
  00000078:  59 4a 00 00 00 00 00                            MTC 0x4a
  0000007f:  6d c0 7c 2d f8 53 7f 00                         TIP 0x7f53f82d7cc0 (3)
  00000088:  06                                              TNT T (1)
  00000089:  59 4b                                           MTC 0x4b
  0000008b:  59 4c                                           MTC 0x4c
  0000008d:  70 00 00                                        TNT TTNNN (5)
  00000090:  4d 20 e2 3f f8                                  TIP 0xf83fe220 (2)
  00000095:  59 4d 00                                        MTC 0x4d
  00000098:  59 4e                                           MTC 0x4e
  0000009a:  0a                                              TNT NT (2)
  0000009b:  4d 35 c9 2e f8                                  TIP 0xf82ec935 (2)
  000000a0:  60                                              TNT TNNNN (5)
  000000a1:  4d 00 56 30 f8                                  TIP 0xf8305600 (2)
  000000a6:  59 4f                                           MTC 0x4f
  000000a8:  06                                              TNT T (1)
  000000a9:  4d a2 c9 2e f8                                  TIP 0xf82ec9a2 (2)
  000000ae:  80                                              TNT NNNNNN (6)
  000000af:  04                                              TNT N (1)
  000000b0:  2d 58 d9                                        TIP 0xd958 (1)
  000000b3:  06                                              TNT T (1)
  000000b4:  59 50                                           MTC 0x50
  000000b6:  c6 00                                           TNT TNNNTT (6)
  000000b8:  59 51                                           MTC 0x51
  000000ba:  7c                                              TNT TTTTN (5)
  000000bb:  2d a5 d5                                        TIP 0xd5a5 (1)
  000000be:  ac                                              TNT NTNTTN (6)
  000000bf:  da                                              TNT TNTTNT (6)
  000000c0:  50                                              TNT NTNNN (5)
